timestamp,threads,elapsed_s,maxrss_kb,speedup,efficiency
20250906_201045,1,146.7,7408,1.0,1.0
20250906_201312,4,73.83,7344,1.9869971556277934,0.49674928890694836
20250906_201426,16,66.18,7260,2.2166817769718943,0.1385426110607434
20250906_201532,32,34.26,7324,4.281961471103328,0.133811295971979
20250906_201606,64,18.36,7312,7.990196078431373,0.1248468137254902
20250906_201625,128,10.31,7328,14.228903976721627,0.11116331231813771
