timestamp,threads,elapsed_s,maxrss_kb
20250906_201045,1,146.70,7408
20250906_201312,4,73.83,7344
20250906_201426,16,66.18,7260
20250906_201532,32,34.26,7324
20250906_201606,64,18.36,7312
20250906_201625,128,10.31,7328
