timestamp,threads,elapsed_s,maxrss_kb
20250907_101425,1,146.82,7364
20250907_101652,4,73.86,7304
20250907_101806,16,66.10,7344
20250907_101912,32,34.42,7252
20250907_101946,64,18.32,7384
20250907_102005,128,10.47,7336
