timestamp,threads,elapsed_s,maxrss_kb
20250907_150630,1,147.15,7340
20250907_150857,4,74.12,7324
20250907_151011,16,66.19,7272
20250907_151117,32,34.24,7312
20250907_151151,64,18.34,7316
20250907_151210,128,10.52,7340
