timestamp,threads,elapsed_s,maxrss_kb,speedup,efficiency
20250907_101425,1,146.82,7364,1.0,1.0
20250907_101652,4,73.86,7304,1.9878147847278635,0.4969536961819659
20250907_101806,16,66.1,7344,2.221180030257186,0.13882375189107413
20250907_101912,32,34.42,7252,4.265543288785589,0.13329822777454967
20250907_101946,64,18.32,7384,8.014192139737991,0.12522175218340612
20250907_102005,128,10.47,7336,14.02292263610315,0.10955408309455586
