timestamp,threads,elapsed_s,maxrss_kb
20250907_152000,1,147.62,7316
20250907_152228,2,86.99,7304
20250907_152355,4,74.05,7256
20250907_152509,8,74.46,7392
20250907_152623,16,66.31,7284
20250907_152730,32,34.23,7260
20250907_152804,64,18.50,7320
20250907_152822,128,10.55,7324
