timestamp,nodes,elapsed_s,maxrss_kb
20250910_220356,1,20.04,14544
20250910_221158,2,20.70,14688
20250910_221803,4,20.99,14792
20250910_231640,8,20.87,15080
20250910_232014,16,21.25,15824
