timestamp,threads,elapsed_s,maxrss_kb
20250908_180845,1,203.16,14644
20250908_181209,2,104.93,14536
20250908_181354,4,63.71,14592
20250908_181457,8,44.06,14532
20250908_181541,16,33.87,14488
20250908_181615,32,18.58,14572
20250908_181634,56,11.73,14620
20250908_181646,84,7.87,14644
20250908_181653,112,6.30,14492
